No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
1297	165501823	187131627	0	0	0	1	"he phonological-inhibition effect observed in this study provides specific evidence for a role of inhibition in first-language attrition because it was obtained with the independentprobe test method (=-=Anderson & Spellman, 1995-=-). If the final test had instead measured subjects"
							
1298	157274982	176805353	0	0	0	1	"wever, cannot be performed routinely in the clinical setting, due to the time required for imaging and postprocessing. Recently, a novel method using diffusionweighted imaging (DWI) has been proposed =-=[12]-=-. This method calculates the temperature of the cerebrospinal fluid (CSF) based on the measured diffusion coefficient of the lateral ventricles [13"
							
1299	11612224	10884859	0	0	0	1	"il to pass the subject. Despite the fact that the percentage of students that complete the subject, around 30%, for which they are currently working out strategies intended to palliate the situation. =-=[1,2]-=-. Throughout the past three years the use of diverse didactic strategies such as audiovisuals means, discussion groups, learning groups [3] has shown some improvements, these strategies are aimed at s"
							
1300	128549322	145687975	0	0	1	0	"vergence. 4.1 Synthetic data We first evaluate the proposed DTI segmentation methods with three different metrics on the synthetic tensor fields. Because previous variational DTI segmentation methods =-=[14, 15, 9, 13]-=- can only deal with binary cases and the robust total KL divergence has Fig. 3. Experimental results on synthetic two-class tensor fields. Left: Synthetic tensor image with Rician noise. Right: Dice s"
							
1301	7419732	7095550	0	0	0	1	"Rs). well recognized, traditionally local methods have been preferred over the global optimization methods primarily because of the computational cost. These methods (e.g., McAulay, 1985; Mora, 1987; =-=Wood, 1993-=-) suffer from the fundamental limitation that the starting solution should not be very far from the optimal answer. The inverse problem is nonlinear, especially for large offset data or large material"
							
1303	43078194	44287709	0	0	0	1	"orce Fc to the orientation. To include the possible 8dependence of the line mobility on its slope, ?xr, we can generalize the equation of motion to ?tr = K? 2 x r + ??xr + ? 2 (?xr) 2 + F + f(x, r). =-=(21)-=- The isotropic depinning studied by RG corresponds to ? = ? = 0. The usual mechanisms for generating a non-zero ? are of kinematic origin 19 (? ? v) and can be shown to be irrelevant at the depinning "
							
1305	105299140	115348167	0	0	1	0	erver based systemsthat makes use of a multi-objective decision algorithm. It relies heavily on humansefforts to organize the information for evaluating suppliers and does not offer analysissmethods. =-=[12]-=- presents CBES (Cost 
							
1306	57051407	57775345	0	1	0	0	"sing methods for the downward-facing cameras. Those extensions will be explained later, when their necessity becomes apparent. For completeness, we provide a short summary of the original method from =-=[15]-=- at this point. As this method is based on sparse stereo matching, the first processing step is to apply a feature detector and a sparse stereo matching algorithm. The two algorithms published in [17]"
							
1309	1614939	1526562	0	0	1	0	"tive invariants. In Section 5, we will give a more substantial example. The interested reader cansnd yet another example at the beginning of the termination proof of the unication algorithm given in [=-=19-=-]. 1 Nested Zero. The functional G g x if x = 0 then 0 else g (g (x 1)) (13) corresponds to the example in equation (1). The termination condition can be written as g xs+ 1, and it is an inductive in"
							
1310	45687945	46475341	0	0	0	1	"impler and more geometrically transparent than the approaches to perturbations in cosmology which place the emphasis on a coordinatedependent description of the metric and density perturbation ([29], =-=[30]-=-). In many cases the variables used are gauge-dependent, so non-physical gauge modes result from differential equations that are of higher order than is needed to describe the true physical degrees of"
							
1311	127521162	144311656	0	0	0	1	"to its inclusion of bilinear items, the input and the output cannot be separated assin the linear MPC, which limits the MPC application in the bilinear model. Althoughssome research has been reported=-=[81]-=-, these works on the bilinear MPC are mainlysbased on the linearization and added compensation term in the linear model, so it stillsfaces the problem that the linearized model cannot represent the pr"
							
1312	51115062	51281900	0	0	0	1	"sult of a comprehensive yeast two-hybrid approach [10]. Immunoprecipitation and western analysis has been used to identify specific Tax-protein interactions, for example IKK? [11,12], CRM1 [13], Dlg1 =-=[14]-=- and components of the APC [15,16]. Recently, Kashanchi and co-workers conducted a major effort using 2D gel separation followed by MALDI-MS to identify a 32-member Tax interactome [17]. A combined li"
							
1313	84042477	87424575	0	0	0	1	"1986; Latour, 1986) has been used to investigate the process whereby the interests of different actors (both human and non-human) are aligned into a social and technological arrangement or artefact (=-=Monteiro and Hanseth, 1996-=-). In the context of ICT4D, Stanforth (2006) applied ANT as a framework for understanding the processes of implementing e-government in developing countries. Focusing on an Integrated Financial Manage"
							
1314	80644610	83350653	1	0	0	0	"gorithms used for the filters as well as the architecture to be used for the implementation. The WDFs are implemented by an isomorphic mapping of the structures to bit-parallel, carry save arithmetic =-=[15]-=- [16]. The FIR filters are linear phase filters and are implemented using the direct form algorithm. The multiplications in the FIR filter is merged to one adder tree and mapped to carry save adders. "
							
1315	12666015	11837233	0	0	1	0	"om the CPB are used to steer decoded instructions to the appropriate half of the pipeline. The technique of slotting instructions before dispatch into an instruction queue was used in the Alpha 21264 =-=[60]-=-. Once an instruction is slotted to the fast or slow side, it must remain on that side. Normally, instructions predicted as critical are steered to the fast side of the pipeline, and instructions pred"
							
1316	83587688	86892365	0	0	1	0	"leton functions implement parallel algorithms commonly used in a given class of applications. This approach is, for instance, behind STAPL which provides parallel implementations of STL C++ functions =-=[4]-=-. This approach can be used on top of a data-centric programming model, where the skeleton methods are marked as performance critical and the parallel version is selected to run in an accelerator. An "
							
1317	14586470	13594113	0	0	0	1	"iables, of the model. A procedure has been developed for estimating these functions within the context of estimating relative permeability and capillary pressure functions from laboratory experiments =-=[63, 84]-=-. The unknown functions are represented by B-splines, due to their ability to accurately represent any smooth functions and their computational convenience. A series of estimation problems are solved,"
							
1318	4773208	4617724	0	0	0	1	"c approaches counteract convergence by an explicit re-introduction of random genetic material. Various methods have been proposed to date such as the Hypermutation and the Random Immigrant operators (=-=[11, 3]-=-). The first method monitors the population 's best fitness and temporarily boosts the mutation rate (hypermutation rate) if a degradation is observed. The choice of the monitoring criterion can be cr"
